หัสลูกค้า,ชื่อลูกค้า,ประเภทลูกค้า,เลขที่เสียภาษี,ที่อยู่,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,ชื่อผู้ติดต่อ,เบอร์โทร,อีเมล์,lineId,facebook
,โกดัง ไทยแพ็คพริ้นท์ - สาธุฯ 49,,,,ซอยสาธุประดิษฐ์ 49,,,กรุงเทพมหานคร,,,,,,
,บริษัท อินเตอร์เนชั่นแนล พริ้นติ้ง,,,10 .,ซอยบางแวก 110 แยก 2,,เขตภาษีเจริญ,กรุงเทพมหานคร,,,,,,
,บริษัท ไทยอ๊อฟเซท จำกัด,,,85/3 หมู่ที่ 1,,,บางปะกง,ฉะเชิงเทรา,,,,,,
,โกดัง บริษัท เพรสซิเดนท์เปเปอร์,,,229/9 หมู่ที่ 12 ,ซอยฮาโต้,,,สมุทรปราการ,,,,,,
,บริษัท เพชรบุรีสติกเกอร์ แอนด์ เทป,,,105 หมู่ที่ 2,,,เขาย้อย,เพชรบุรี,,,,,,
,โกดัง มาสเตอร์ฟอร์ม ลาดพร้าว 101,,,32 .,ซอยโพธิ์แก้ว 3 แยก 6,,เขตบางกะปิ,กรุงเทพมหานคร,,,,,,
,บริษัทแสงตะวันการพิมพ์ (1994) จำกัด,,,33/3 หมู่ที่ 5,,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,บริษัท แอ๊คคิวเรท เพรส จำกัด,,,66/149-151 หมู่ที่ 6 ,ซอยเอกชัย 80,,เขตบางบอน,กรุงเทพมหานคร,,,,,,
,บริษัทดาต้าโปรดักส์ทอปปังฟอร์ม,,,218 นิคมอุตสาหกรรมลาดกระบัง,,,เขตลาดกระบัง,กรุงเทพมหานคร,,,,,,
,โรงงาน นิคมอุตสาหกรรมโรจนะ,,,1/83 หมู่ที่ 5,,,อุทัย,อยุธยา,,,,,,
,บริษัท พิมพ์ดีการพิมพ์ จำกัด,,,78/198-200 หมู่ที่ 5,ซอยโครงการ,,เขตคลองสามวา,กรุงเทพมหานคร,,,,,,
,บริษัท โมเดิร์นอลูมิเนียม ฟอล์ย,,,63,ซอยพระรามที่ 2 ซอย 3 แยก 3,,เขตจอมทอง,กรุงเทพมหานคร,,,,,,
,บริษัท เสริมไชยค้ากระดาษ จำกัด,,,54/1,ซอยโชคชัยจงจำเริญ,,เขตยานนาวา,กรุงเทพมหานคร,,,,,,
,บริษัท เบสท์ฟอร์ม พริ้นท์ จำกัด,,,42/16 หมู่ที่ 5,ซอยศิริชัย,,กระทุ่มแบน,สมุทรสาคร,,,,,,
,โกดังใหม่ศิริวัฒนา,,,55 หมู่ที่ 12 กม. 45,,,บางปะกง,ฉะเชิงเทรา,,,,,,
,บจก.ฟงซัน พริ้นติ้ง (FACTORY 1),,,78/2 หมู่ที่ 2 ,ซอยวัดบางวัว,,บางวัว,ฉะเชิงเทรา,,,,,,
